Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony
12371,New Delhi,Kalkaji Extension,2000,8000,1.6,Flat,4 BHK,3,Yes
12372,New Delhi,Sector 3 Dwarka,320,6250,0.2,Flat,1 BHK,1,No
12373,New Delhi,Sector 17 Dwarka,720,15280,1.1,Flat,2 BHK,2,No
12374,New Delhi,Sector 16B Dwarka,225,7110,0.16,Flat,1 BHK,1,Yes
12375,New Delhi,Sector 17 Dwarka,720,12500,0.9,Flat,2 BHK,2,No
12376,New Delhi,Jasola,1200,12500,1.5,Flat,2 BHK,3,No
12377,New Delhi,Bindapur,657,4870,0.32,Flat,2 BHK,2,No
12378,New Delhi,Dallupura,1050,9520,1,Flat,2 BHK,3,Yes
12379,New Delhi,Sector 18 Dwarka,915,13660,1.25,Flat,2 BHK,3,No
12380,New Delhi,Sector 13 Rohini,1200,20000,2.4,Flat,3 BHK,3,No
12381,New Delhi,Sector 15 Dwarka,1300,5770,0.75,Flat,3 BHK,3,No
12382,New Delhi,Mayur Vihar,729,15090,1.1,Flat,3 BHK,2,No
12383,New Delhi,Sector 23 Rohini,688,8430,0.58,Flat,2 BHK,2,Yes
12384,New Delhi,Ashok Nagar,1000,9500,0.95,Flat,2 BHK,3,Yes
12385,New Delhi,Bhalswa,650,2910,0.19,Flat,2 BHK,2,No
12386,New Delhi,Palam,600,6670,0.4,Flat,2 BHK,2,No
12387,New Delhi,Dwarka Mor,950,4740,0.45,Flat,3 BHK,3,No
12388,New Delhi,Mayur Vihar,980,9390,0.92,Flat,2 BHK,3,Yes
12389,New Delhi,Tagore Garden Extension,1200,20830,2.5,Flat,3 BHK,3,No
12390,New Delhi,Sector 15 Rohini,1100,11360,1.25,Flat,2 BHK,3,Yes
12391,New Delhi,Bharthal,350,8000,0.28,Flat,1 BHK,1,Yes
12392,New Delhi,Bharthal,350,8000,0.28,Flat,1 BHK,1,No
12393,New Delhi,Sector 23 Rohini,750,9330,0.7,Flat,2 BHK,2,No
12394,New Delhi,Fatehpur Beri,450,3330,0.15,Flat,1 BHK,2,Yes
12395,New Delhi,Fatehpur Beri,450,3330,0.15,Flat,1 BHK,2,No
12396,New Delhi,Laxmi Nagar,5000,5200,2.6,Independent House,10 BHK,5,Yes
12397,New Delhi,Preet Vihar,1605,15260,2.45,Villa,3 BHK,3,Yes
12398,New Delhi,Sector 15 Rohini,1200,11250,1.35,Flat,3 BHK,3,Yes
12399,New Delhi,Jamia Nagar,1900,42100,8,Villa,5 BHK,3,Yes
12400,New Delhi,Razapur Khurd,675,4300,0.29,Flat,2 BHK,2,No
12401,New Delhi,Kondli,1000,8000,0.8,Flat,2 BHK,3,No
12402,New Delhi,Sewak Park,2500,11280,2.82,Flat,4 BHK,4,Yes
12403,New Delhi,Naraina,1800,51390,9.25,Independent House,5 BHK,3,Yes
12404,New Delhi,Sector 16B Dwarka,800,5630,0.45,Flat,2 BHK,5,No
12405,New Delhi,Wazirabad,445,5620,0.25,Flat,2 BHK,2,No
12406,New Delhi,DLF Farms,1150,4000,0.46,Flat,3 BHK,3,Yes
12407,New Delhi,Sector 22 Dwarka,1100,11540,1.27,Flat,2 BHK,3,Yes
12408,New Delhi,Sector 23 Dwarka,1300,11150,1.45,Flat,3 BHK,3,No
