Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony,City_Level_Annual_CAGR,Locality_Level_Annual_CAGR,CAGR_source,1yr_Forecast_PriceSQFT,2yr_Forecast_PriceSQFT,3yr_Forecast_PriceSQFT
182,Chennai,Villivakkam,1400,5360,0.75,Flat,3 BHK,3,No,0.0619,N/A,city,5691.78,6044.11,6418.24
183,Chennai,Chromepet,700,5430,0.38,Flat,1 BHK,2,No,0.0619,N/A,city,5766.12,6123.04,6502.06
184,Chennai,Ambattur,840,6550,0.55,Flat,2 BHK,3,No,0.0619,N/A,city,6955.45,7385.99,7843.18
185,Chennai,T Nagar,1987,19120,3.8,Flat,3 BHK,3,Yes,0.0619,N/A,city,20303.53,21560.32,22894.9
186,Chennai,T Nagar,1484,16850,2.5,Flat,3 BHK,3,Yes,0.0619,N/A,city,17893.02,19000.59,20176.73
187,Chennai,Selaiyur,801,4160,0.33,Flat,2 BHK,3,No,0.0619,N/A,city,4417.5,4690.95,4981.32
188,Chennai,Anna Nagar,1461,15400,2.25,Flat,3 BHK,3,No,0.0619,N/A,city,16353.26,17365.53,18440.45
189,Chennai,Perumbakkam,1290,6590,0.85,Villa,3 BHK,3,No,0.0619,N/A,city,6997.92,7431.09,7891.08
190,Chennai,Guduvancheri,875,4000,0.35,Flat,2 BHK,3,No,0.0619,N/A,city,4247.6,4510.53,4789.73
191,Chennai,Sholinganallur,608,8220,0.5,Flat,1 BHK,2,No,0.0619,N/A,city,8728.82,9269.13,9842.89
192,Chennai,Avadi,650,4620,0.3,Flat,2 BHK,2,Yes,0.0619,N/A,city,4905.98,5209.66,5532.14
193,Chennai,Karapakkam,561,8910,0.5,Flat,2 BHK,2,Yes,0.0619,N/A,city,9461.53,10047.2,10669.12
194,Chennai,Pudupakkam,1250,5200,0.65,Villa,2 BHK,3,Yes,0.0619,N/A,city,5521.88,5863.68,6226.65
195,Chennai,Vandalur,1500,2670,0.4,Flat,2 BHK,3,No,0.0619,N/A,city,2835.27,3010.78,3197.14
196,Chennai,Thandalam,760,6320,0.48,Flat,2 BHK,2,Yes,0.0619,N/A,city,6711.21,7126.63,7567.77
197,Chennai,Ambattur,1070,6070,0.65,Flat,2 BHK,3,Yes,0.0619,N/A,city,6445.73,6844.72,7268.41
198,Chennai,Kelambakkam,462,5360,0.25,Flat,1 BHK,2,No,0.0619,N/A,city,5691.78,6044.11,6418.24
199,Chennai,Perumbakkam,935,4280,0.4,Flat,2 BHK,3,No,0.0619,N/A,city,4544.93,4826.26,5125.01
200,Chennai,Madipakkam,865,6790,0.59,Flat,2 BHK,3,No,0.0619,N/A,city,7210.3,7656.62,8130.56
201,Chennai,Madambakkam,830,4820,0.4,Flat,2 BHK,3,No,0.0619,N/A,city,5118.36,5435.18,5771.62
202,Chennai,Kilpauk,1340,10820,1.45,Flat,3 BHK,3,No,0.0619,N/A,city,11489.76,12200.97,12956.21
203,Chennai,Anna Nagar,1600,10940,1.75,Flat,3 BHK,3,Yes,0.0619,N/A,city,11617.19,12336.29,13099.91
204,Chennai,Kelambakkam,1237,3560,0.44,Flat,3 BHK,3,No,0.0619,N/A,city,3780.36,4014.37,4262.86
